"","Beer Style","review_overall","review_aroma","review_appearance","review_palate","review_taste","beer_abv","inds","review_overall","review_aroma","review_appearance","review_palate","review_taste","beer_abv","inds"
"1","Hefeweizen","3.9296259137165","3.76173498638383","3.82829296259137","3.75019707610721","3.79676078543787","5.2593327676643","170","0.676753777030164","0.612921702708454","0.600691180966998","0.62468679696169","0.664556761363959","0.585148434860448","0"
"2","English Strong Ale","3.78328818503855","3.74942696395082","3.85246926443009","3.77609918733069","3.83090227130652","7.3337344573235","36","0.645893126528086","0.562373773369191","0.531627511914936","0.590791602820381","0.634154867053397","1.33420075624749","0"
"3","Foreign / Export Stout","3.87767916945747","3.82836570663094","4.03901540522438","3.82083054253181","3.91108506363027","7.68246396705559","72","0.630864000865577","0.558138106494626","0.52788740891738","0.614169848111606","0.615259287417308","1.0074553918026","0"
"4","German Pilsener","3.73157300835026","3.38715865493117","3.57244414353419","3.53942676596705","3.53382983525164","5.0443843729105","81","0.758752149546008","0.686372090110919","0.643602665168832","0.673573935858007","0.721088801218981","0.436018094678952","0"
"5","American Double / Imperial IPA","3.99801691149959","4.09778196494411","4.0789164544006","4.02312827849309","4.09128022610698","9.37013486208355","56","0.636758167984414","0.568235707156812","0.469188254474004","0.544153555324519","0.614899379322407","1.89825997589324","0"
"6","Herbed / Spiced Beer","3.47092967011706","3.57226468027474","3.60022250169295","3.50841636838541","3.52945728934894","6.59190466613033","155","0.805001680542528","0.704640899189537","0.614436227555626","0.694806570402041","0.786291719829191","1.90935447976006","0"
"7","Light Lager","2.69883306547411","2.17000908392146","2.42938997973587","2.33977360072671","2.27213332401649","4.03110549732298","9","1.04575513834626","0.784028546433469","0.841423977486858","0.853799043616791","0.878540128955036","0.426509721447689","0"
"8","Oatmeal Stout","3.94169192615045","3.85304491595481","4.01212455221824","3.84122347754202","3.92854780931386","5.80010658233778","114","0.631418107073793","0.544376325326037","0.524836866740967","0.65524545559404","0.621290235034673","0.985022276238661","0"
"9","American Pale Lager","3.40894603802616","3.05390702274975","3.29151555115947","3.25612704692823","3.20183536652379","5.04191705509741","8","0.814878123781313","0.70288234618983","0.665259607364822","0.708259682671403","0.755508775259619","0.96132542641734","0"
"10","Rauchbier","3.79454820797577","3.9467440686522","3.86875315497224","3.78142352347299","3.89348813730439","5.7327311370882","128","0.68705384022793","0.644684438596705","0.496453374638539","0.581463381960873","0.665929238398127","0.803625442411037","0"
"11","American Pale Ale (APA)","3.85230585010005","3.65774630134396","3.78160991980337","3.68415289353858","3.72142305692543","5.46975241473115","10","0.66045168658183","0.612631527737284","0.524437399417483","0.58339236095376","0.638847894132921","0.590642679450642","0"
"12","American Porter","3.89573469104741","3.83647007547992","3.95739643798166","3.7844463815203","3.89805257840204","6.2446756698821","11","0.643700565173015","0.58179503534473","0.50726028922813","0.631938760857943","0.636809983244472","1.35758869829553","0"
